AKR1B1	328321	415	9	1051
AKR1B10	403585	319	21	948
AKR1B15	403585	319	21	1098
AKR1C1	343868	608	-13	1098
AKR1C2	343868	608	-13	1017
AKR1C3	438967	678	-14	969
AKR1C4	630098	678	-21	969
AKR1D1	220333	478	16	979
AKR1E2	287187	559	-13	1024
AKR7A2	810462	448	40	1077
AKR7A3	810462	448	40	993
AKR7L	799326	448	35	993
AKT1	711772	247	36	1478
AKT1S1	1673246	205	37	828
AKT2	1005838	400	30	1772
AKT3	208930	954	-4	1478
AKTIP	247554	403	8	996
ALAD	390186	297	36	1017
ALAS1	1114737	181	52	2007
ALAS2	245504	443	8	1869
ALB	315782	613	8	1916
ALCAM	165047	784	-3	1750
ALDH16A1	2173457	290	44	2169
ALDH18A1	369001	454	26	2385
ALDH1A1	344512	542	1	1503
ALDH1A2	187239	674	-1	1641
ALDH1A3	378556	374	0	1758
ALDH1B1	272380	622	3	1551
ALDH1L1	203027	610	30	2897
ALDH1L2	244603	334	33	2784
ALDH2	691258	242	44	1307
ALDH3A1	550749	220	-13	1359
ALDH3A2	544087	332	-2	1775
ALDH3B2	1408104	424	60	1196
ALDH4A1	642600	453	27	1702
ALDH5A1	407627	461	18	1644
ALDH6A1	495634	236	40	1605
ALDH7A1	235232	191	19	1836
ALDH8A1	152922	364	19	1499
ALDH9A1	321831	408	0	1554
ALDOA	658491	443	20	1350
ALDOB	112947	898	-22	1114
ALDOC	1651143	225	31	1092
ALG1	552298	419	3	1436
ALG10	23464	1025	-29	1428
ALG10B	42332	589	-38	1428
ALG11	385945	461	41	1476
ALG12	771339	208	6	1594
ALG13	124127	443	20	3528
ALG14	275272	425	-9	648
ALG1L	213057	583	19	561
ALG2	203560	410	37	1317
ALG3	1460188	257	49	1442
ALG5	176745	650	16	1041
ALG6	133567	477	2	1527
ALG8	551110	208	23	1914
ALG9	437477	182	28	1973
ALK	202198	882	19	5114
ALKBH1	455772	384	47	1167
ALKBH2	595266	487	20	785
ALKBH3	437017	676	6	1001
ALKBH4	611052	174	63	906
ALKBH5	918230	192	23	1182
ALKBH6	980636	320	19	884
ALKBH7	943949	407	31	684
ALKBH8	234842	643	-2	2030
ALLC	252769	496	5	1173
ALMS1	777501	590	22	12513
ALOX12	1645511	360	14	2031
ALOX12B	1528802	272	26	1999
ALOX15	1226703	318	25	2109
ALOX15B	1528802	272	26	2028
ALOX5	127792	737	36	2022
ALOX5AP	381672	451	76	483
ALOXE3	1455014	202	31	2684
ALPI	271362	191	32	1666
ALPK1	185655	467	42	3768
ALPK2	204534	290	67	6510
ALPK3	351352	213	28	5721
ALPL	547986	297	42	1572
ALPP	307666	204	37	1605
ALPPL2	307666	204	37	1596
ALS2	438202	523	29	5136
ALS2CL	298503	495	41	3017
ALS2CR11	436378	491	24	5604
ALS2CR12	554245	411	31	1335
ALS2CR8	543912	392	33	2328
ALX1	35916	925	-34	978
ALX3	571576	400	29	1029
ALX4	301098	575	9	1233
AMACR	270768	793	4	1306
AMBN	262055	689	14	1341
AMBP	244063	558	0	1190
AMBRA1	880494	212	45	3894
AMD1	321448	282	31	1014
AMDHD1	366272	436	8	1278
AMDHD2	2085452	321	49	1726
AMELX	658491	443	20	615
AMELY	0	0	0	618
AMFR	498079	442	-9	2025
AMH	1603571	240	27	1680
AMHR2	1712232	191	56	1720
AMICA1	707709	293	56	1222
AMIGO1	1056159	272	37	1479
AMIGO2	150007	380	-12	1566
AMIGO3	658491	443	20	1512
AMMECR1	157872	443	34	999
AMMECR1L	588745	248	39	930
AMN	758150	286	50	1359
AMN1	313930	228	11	945
AMOT	25417	443	10	3266
AMOTL1	332670	472	-7	3004
AMOTL2	303429	189	21	2514
AMPD1	600650	472	11	2413
AMPD2	989433	201	29	2995
AMPD3	777397	378	27	2497
AMPH	167080	639	7	2622
AMT	1585328	201	32	1257
AMTN	264427	861	27	627
AMY1A	658491	443	20	1533
AMY1B	658491	443	20	1533
AMY1C	24508	1029	-14	1533
AMY2A	27205	1015	-20	1533
AMY2B	31276	974	-19	1533
AMZ1	767440	392	30	1494
AMZ2	764688	237	11	1178
ANAPC1	658491	443	20	5864
ANAPC10	182708	1139	20	606
ANAPC11	3798594	211	19	713
ANAPC13	254024	188	16	222
ANAPC16	764632	140	40	330
ANAPC2	1722012	202	36	2466
ANAPC4	233480	611	44	2427
ANAPC5	959300	258	39	2474
ANAPC7	964525	206	50	1485
ANG	658491	443	20	441
ANGEL1	308800	471	39	2120
ANGEL2	315884	412	12	1639
ANGPT1	50022	671	-19	1494
ANGPT2	658491	443	20	1538
ANGPT4	824412	579	36	1509
ANGPTL1	658491	443	20	1473
ANGPTL2	658491	443	20	1479
ANGPTL3	658491	443	20	1380
ANGPTL4	726988	204	0	1251
ANGPTL5	416999	514	-21	1164
ANGPTL6	1675365	272	15	1410
ANGPTL7	658491	443	20	1038
ANK1	574508	533	36	6109
ANK2	237324	911	14	12777
ANK3	213806	634	-8	13923
ANKAR	408508	452	20	4335
ANKDD1A	705779	185	57	1574
ANKFN1	184382	511	-53	3548
ANKFY1	816229	357	26	3736
ANKH	503265	410	8	1758
ANKHD1	658491	443	20	5390
ANKHD1-EIF4EBP3	688522	296	30	2706
ANKIB1	708388	452	30	3337
ANKK1	107636	610	12	2313
ANKLE1	865138	212	38	2170
ANKLE2	779125	601	32	2909
ANKMY1	452566	485	21	3171
ANKMY2	291955	612	-13	1475
ANKRA2	403014	289	42	939
ANKRD1	103854	510	4	957
ANKRD10	506421	402	22	1382
ANKRD11	1263742	322	40	8043
ANKRD12	434324	391	56	6217
ANKRD13A	950689	254	54	1818
ANKRD13B	719319	383	30	1930
ANKRD13C	295772	396	-1	1623
ANKRD13D	1369264	177	44	1838
ANKRD16	649866	305	28	1083
ANKRD17	265492	747	19	7863
ANKRD2	564805	169	40	1080
ANKRD20A1	658491	443	20	2469
ANKRD20A3	658491	443	20	2622
